iddd2,Código,Item,n_resposta,train_subj,resp_relacao3,y_theta,y_score1,y_score2
M0001F011,M0001,F01,1,1,Macaco é o Tarzan da Floresta. Porque vive nas árvores,3,1,1
M0001F012,M0001,F01,2,1,Macaco é o comunicador da Floresta. Porque avisa os outros animais do perigo,2,0,0
M0001F013,M0001,F01,3,1,Macaco é o semeador da Floresta. Porque ele joga as sementes das frutas no chão,3,1,1
M0001E021,M0001,E02,1,1,Grama é o protetora da Terra. Protege do sol e da chuva,2,0,0
M0001E022,M0001,E02,2,1,Grama é o tapete da Terra. É macio e gostoso de andar,3,1,1
M0001E023,M0001,E02,3,1,Grama é o pele da Terra. Porque protege,2,0,0
M0001E024,M0001,E02,4,1,Grama é o casaco da Terra. Porque agasalha a pele,2,0,0
M0001A031,M0001,A03,1,1,Estrelas é o olhos da Noite. Porque observam a noite,2,0,0
M0001A032,M0001,A03,2,1,Estrelas é o fendas da Noite. Aberturas da noite,2,0,0
M0001A033,M0001,A03,3,1,Estrelas é o beijos da Noite. Seriam os beijos para o ser humano,2,0,0
M0001A041,M0001,A04,1,1,Bola é o diversão da Jogadores. Porque é um lazer,2,0,0
M0001A042,M0001,A04,2,1,Bola é o instrumento da Jogadores. instrumento do lazer,1,0,0
M0001A051,M0001,A05,1,1,Planetas é o filhos da Sol. Porque são aquecidos,2,0,0
M0001A052,M0001,A05,2,1,"Planetas é o acessórios da Sol. Estão juntos, próximos.",3,1,1
M0001A053,M0001,A05,3,1,Planetas é o reflexos da Sol. Pela luz do sol,1,0,0
M0001A061,M0001,A06,1,1,Onibus é o camelos da Cidade. Porque também transportam,3,1,1
M0001A062,M0001,A06,2,1,Onibus é o pau de arara da Cidade. Aglomerado de pessoas,1,0,0
M0001A063,M0001,A06,3,1,Onibus é o comunicantes da Cidade. Porque andam de um lugar para outro,2,0,0
M0001A071,M0001,A07,1,1,Cabide é o apoio da Roupa. Porque sustenta,1,0,0
M0001A072,M0001,A07,2,1,Cabide é o mostruário da Roupa. Porque exibe a roupa,2,0,0
M0001A073,M0001,A07,3,1,Cabide é o extensão da Roupa. Faz parte da roupa,1,0,0
M0001A074,M0001,A07,4,1,Cabide é o bengala da Roupa. Porque apóia,2,0,0
M0001A081,M0001,A08,1,1,Amor é o base da Sentimentos. Porque do amor parte os outros sentimentos,2,0,0
M0001A082,M0001,A08,2,1,Amor é o céu da Sentimentos. Porque é superior,3,1,1
M0001A083,M0001,A08,3,1,Amor é o caixa dos sentimentos da Sentimentos. Porque dentro do amor estão demais sentimentos,3,1,1
M0001A084,M0001,A08,4,1,Amor é o espelho da Sentimentos. Todos sentimentos bons refletem o amor,3,1,1
M0001A091,M0001,A09,1,1,Peixes é o donos do mar da Mar. Porque são os habitantes,3,1,2
M0001A092,M0001,A09,2,1,Peixes é o marinheiros da Mar. Porque são responsáveis pelo mar,2,0,0
M0001A093,M0001,A09,3,1,Peixes é o garimpeiros da Mar. Porque os peixes garimpam seus alimentos,3,1,2
M0001A094,M0001,A09,4,1,Peixes é o petiscos da Mar. Porque eles são nossos alimentos,2,0,0
M0002F011,M0002,F01,1,0,"Macaco é o palhaço da Floresta. É o mais engraçado, não leva a sério",4,2,2
M0002F012,M0002,F01,2,0,Macaco é o banana da Floresta. Humor mais estúpido,3,1,2
M0002F013,M0002,F01,3,0,Macaco é o terrorista da Floresta. Não aceita regras,3,1,2
M0002F014,M0002,F01,4,0,Macaco é o risada da Floresta. Porque o som que ele faz,4,2,2
M0002E021,M0002,E02,1,0,"Grama é o sonho da Terra. Porque ela cresce acima,fruto da imaginação",4,3,2
M0002E022,M0002,E02,2,0,Grama é o peruca da Terra. Cobertura,4,2,2
M0002E023,M0002,E02,3,0,Grama é o filha da Terra. Porque é nutrida pela terra,3,1,2
M0002E024,M0002,E02,4,0,Grama é o porta da Terra. Precisa atravessar a grama para chegar a terra,4,2,2
M0002A031,M0002,A03,1,0,Estrelas é o espiãs da Noite. As estrelas iluminam o que as pessoas fazem a noite,3,1,2
M0002A032,M0002,A03,2,0,Estrelas é o mistérios da Noite. Você enxerga mas não conhece de fato,3,1,1
M0002A033,M0002,A03,3,0,Estrelas é o sinos da Noite. Com o passar das horas elas vão acendendo,2,0,0
M0002A034,M0002,A03,4,0,Estrelas é o lembranças da Noite. Porque se cada coisa boa surgisse uma estrela para simbolizar,3,1,1
M0002A041,M0002,A04,1,0,Bola é o sexo da Jogadores. Objeto de pulsão do jogador,3,1,1
M0002A042,M0002,A04,2,0,Bola é o irmão da Jogadores. Porque acompanha,3,1,1
M0002A043,M0002,A04,3,0,Bola é o namorada da Jogadores. Aquilo pelo qual ele é apaixonado,3,1,1
M0002A044,M0002,A04,4,0,Bola é o perdição da Jogadores. Porque passa a ser importante e ele esquece o resto,4,2,2
M0002A051,M0002,A05,1,0,Planetas é o comadres da Sol. Porque elas conversam sobre tudo no universo,3,1,2
M0002A052,M0002,A05,2,0,Planetas é o discípulos da Sol. Participam do mesmo sistema mas nenhum tem a mesma grandeza,4,2,2
M0002A053,M0002,A05,3,0,Planetas é o seguidores da Sol. Porque o Sol dita os caminhos dos planetas,3,1,2
M0002A054,M0002,A05,4,0,Planetas é o parasitas da Sol. Tiram do Sol a energia vital,4,2,2
M0002A061,M0002,A06,1,0,Onibus é o caminhos da Cidade. Através deles as pessoas se locomovem,3,1,1
M0002A062,M0002,A06,2,0,Onibus é o motéis da Cidade. As pessoas se enroscam dentro do ônibus,3,1,2
M0002A063,M0002,A06,3,0,Onibus é o casa da Cidade. As pessoas passam muito tempo dentro dele,3,1,2
M0002A064,M0002,A06,4,0,Onibus é o espaçonaves da Cidade. Na cidade é o meio de transporte,3,1,1
